xc,xc_sigmalow,xc_sigmahigh,xc_sigma3low,xc_sigma3high,yc,yc_sigmalow,yc_sigmahigh,yc_sigma3low,yc_sigma3high,theta,theta_sigmalow,theta_sigmahigh,theta_sigma3low,theta_sigma3high,Ic,Ic_sigmalow,Ic_sigmahigh,Ic_sigma3low,Ic_sigma3high,hr,hr_sigmalow,hr_sigmahigh,hr_sigma3low,hr_sigma3high,inc,inc_sigmalow,inc_sigmahigh,inc_sigma3low,inc_sigma3high,z_scale,z_scale_sigmalow,z_scale_sigmahigh,z_scale_sigma3low,z_scale_sigma3high,e,e_sigmalow,e_sigmahigh,e_sigma3low,e_sigma3high,ns,ns_sigmalow,ns_sigmahigh,ns_sigma3low,ns_sigma3high,Ie,Ie_sigmalow,Ie_sigmahigh,Ie_sigma3low,Ie_sigma3high,rscale,rscale_sigmalow,rscale_sigmahigh,rscale_sigma3low,rscale_sigma3high,z0,z0_sigmalow,z0_sigmahigh,z0_sigma3low,z0_sigma3high,z,sfr,rms,mass,Ra,Dec,SN,name,re,re_sigmalow,re_sigmahigh
-1.2052740590324608e-05,1.0400218413080865e-07,1.086905755661269e-07,1.9330420441720345e-07,1.9890471996074437e-07,3.852926684157969e-06,4.686358101085584e-08,4.547017153268137e-08,8.773684987187238e-08,8.73547740075342e-08,41.91800882779261,0.0376292999728988,0.0367541691307522,0.0705483529142583,0.0702802426409476,1.899614639078227,0.006170068419826,0.0061397194234418,0.0117220004340461,0.0116593383731493,2.300637804798459,0.0041149931082258,0.0040626547433468,0.0078391996020985,0.0077166313850467,76.27651413816294,0.0384579430619282,0.0376145191624743,0.0723049352166498,0.0719756136628717,0.111038219026346,9.781007543537e-05,9.947567424020004e-05,0.0001855731087988,0.0001898243503057,0.9133075428247136,0.003084769472242,0.003084763620481,0.0058185116290809,0.0058417134324647,0.5013231991310444,0.0009807417203935,0.0022137941192432,0.0012644821112473,0.0054704292465042,99.32487718101886,1.12823469766181,0.5044032970709935,2.6388808900954217,0.6430587347981032,0.08264891654251,0.0013770135141364,0.0013742559418648,0.0026126283009223,0.0024625518472482,0.2554586206979444,2.775557561562892e-17,0.0,2.775557561562892e-17,2.775557561562892e-17,1.1963024,2.9103376507276315,0.016152132,14129259555.96523,212.21052631579,52.999982701938,28.782879,clean_image_56,0.31906368238734983,0.005346464826974009,0.005335108801795993
-5.977492548904161e-06,4.490327062254591e-08,4.599592330047541e-08,8.305251115288215e-08,8.457568667625513e-08,-6.421082271532664e-06,1.5176901343777893e-08,1.5535287945897675e-08,2.8043858942469894e-08,2.8996826123979563e-08,-63.00297352352875,0.0274928431807737,0.027017173330357,0.0508261294447223,0.0495507422036567,4.480086030389167,0.0152993489397337,0.0153960471707863,0.0283763027065182,0.0278960233599816,1.1522097566908898,0.0019152879014361,0.0018911803467955,0.0035232822781654,0.0034967736562159,84.68234791443518,0.0538854388853735,0.0551379545882042,0.1002859067797174,0.1016046016023892,0.2203141739357256,0.0001803857197821,0.0001834262986055,0.0003330505959096,0.0003379787493036,0.0266299103053316,0.0131602983327136,0.0128444313533164,0.0221109085087063,0.023182302961115,1.180633935554784,0.0572782422050555,0.0534244955893348,0.1067307335347427,0.093897418171583,91.760165993366,7.544602381572986,5.663168458910207,13.53716144378312,7.76420870226255,0.04485326121215,0.0012024211905892,0.0015625025302363,0.0019853512872247,0.0029931708250088,0.2538481291898806,2.775557561562892e-17,0.0,5.551115123125783e-17,2.775557561562892e-17,1.1483805,5.380571166079984,0.017240513,3926095435.632828,212.21052631579,52.999982701938,26.758192,clean_image_57,0.08671965278553828,0.0023292356295178287,0.0030243062210226113
5.231464219953611e-07,4.8879968040826665e-08,4.8868123048672056e-08,9.006295740430855e-08,8.969011337672414e-08,-5.515014577796844e-06,2.300271645722133e-08,2.3380850564380863e-08,4.26502208111254e-08,4.223670660491975e-08,55.95061735285938,0.0450411687260725,0.0460762252013609,0.083511572764408,0.0822917193744885,2.61272845083531,0.031859915144726,0.0307341611939411,0.0587900652326296,0.0568342440853317,1.5136487930811782,0.0049139617241829,0.0050684056205356,0.0089227920273646,0.0092511434255435,80.1448991517398,0.1338162439769235,0.1329796847395243,0.2458310431719184,0.252677867208618,0.1722966700264376,0.0002875050177282,0.0002806138372039,0.0005232512965275,0.0005110603220487,0.0543677655584912,0.0064324365460594,0.0064681471588073,0.0114825569583749,0.0120560737578875,2.372562686003995,0.0273819268085633,0.0269103377979305,0.0507503453745283,0.0492329373228384,0.4194204162247631,0.0106930321612151,0.0110073480980089,0.0191037652622003,0.0208988561277015,0.8924525114668046,0.0127884251411128,0.0126745376172554,0.0235566891382719,0.0232459111429221,0.2607966045039058,2.775557561562892e-17,0.0,2.775557561562892e-17,2.775557561562892e-17,1.5615673,10.00790753824241,0.01879232,37248576990.77071,212.21052631579,52.999982701938,21.37257,clean_image_58,2.266742520997784,0.03330451671955184,0.03307477368156554
4.926667274185553e-07,2.1139242960702753e-08,2.142225453347116e-08,4.136724654925594e-08,4.1617704389363484e-08,4.422100027835406e-06,1.8423064733474125e-08,1.8255515437056284e-08,3.498097594475408e-08,3.517848820459911e-08,-51.20917021990356,0.0168918188115512,0.0161152644768876,0.0321052866903102,0.0305707415318678,2.564663095231168,0.0108217588939174,0.0113405975995202,0.0205435229424488,0.0210970347180579,3.0176620519567603,0.00593314904195,0.005752234226851,0.0110048989539608,0.0110105402050861,83.73239576439497,0.0286995957792299,0.0282156171569454,0.0543086235421554,0.0531477890221481,0.0835130532773538,7.949465124380828e-05,8.221965429034556e-05,0.0001518333107183,0.0001528329055835,2.9412566075246647e-05,2.205844520993672e-05,4.6950206640248006e-05,2.816844486430809e-05,0.0001199942553847,1.2373801902640982,0.0064861634217732,0.0065487263331169,0.0123361830094115,0.0125934271633056,7.886299977113565,0.0307001588576243,0.0302083694548889,0.05828546270829,0.0578948010308488,0.1920355899330674,0.0004854212616399,0.0004862869707148,0.0009021860228831,0.0009186325305121,0.25201377560134,2.775557561562892e-17,0.0,2.775557561562892e-17,2.775557561562892e-17,1.1017904,0.9599215726809291,0.02932109,55370806193.1622,34.4,-4.9999895739936,34.927788,clean_image_59,0.972398503750395,0.0031140016099956524,0.0030820545170640624
1.265548486774319e-05,1.3027700323268245e-08,1.330915866653014e-08,2.440551844783652e-08,2.5065474905925344e-08,-5.179261144303332e-06,4.0979327294821875e-08,4.016458968320008e-08,7.70853343761733e-08,7.671491754356756e-08,-15.039770035682816,0.0143420737618118,0.0144498780443598,0.0270990181018913,0.0274226982006915,1.585429162065518,0.0024349302814055,0.0024297752347319,0.0044787879532466,0.0043889019113318,3.848718557259207,0.0033818327939485,0.0033670986515565,0.0062130215976736,0.0063940992519802,80.59600771512164,0.0143949997751633,0.0144316503962471,0.0272824163386502,0.0273917549103828,0.0667699231373362,2.9186411100549925e-05,2.937206037793849e-05,5.537950537652658e-05,5.3990987207805374e-05,0.934583657587021,0.0010773077364418,0.0010417141058924,0.0020915029336422,0.0019075221869595,0.5004959439499862,0.0003722010041794,0.00080815498523,0.0004742034264686,0.0020239658836472,99.832361996881,0.2749221048414796,0.1243822628120341,0.6447072867506733,0.1598432301768895,0.0625798570781366,0.0008411100996554,0.0008201087640368,0.0016166392979452,0.001514608111733,0.2569785759765712,2.775557561562892e-17,0.0,2.775557561562892e-17,2.775557561562892e-17,2.0357556,228.5537643535543,0.01554366,83204659309.56853,34.4,-4.9999895739936,32.962063,clean_image_60,0.40415008766089094,0.005443610833017972,0.005308174068479766
4.924481406625937e-06,2.0002058324565524e-08,2.047507306655281e-08,3.7880989489605855e-08,3.71812704877515e-08,-1.5473394225960468e-06,1.943586305216849e-08,2.0420773497086915e-08,3.7074774272031626e-08,3.7827530853561456e-08,-44.78543999219162,0.0100353318846657,0.0099628401332623,0.0183220427106149,0.018990962916277,5.523157328844881,0.0048381954389107,0.0048052955552595,0.0090225438760551,0.0089426378755437,2.0679123671256296,0.0010939167424099,0.0011078336203129,0.0020706831073029,0.0020922529665421,80.25675929758462,0.0123500774102467,0.0126872137585252,0.0233401821096919,0.0243315038676001,0.125690112103058,3.364662912520855e-05,3.328345705642943e-05,6.350561039639158e-05,6.303124164963592e-05,,,,,,,,,,,,,,,,,,,,,0.2599161314865558,2.775557561562892e-17,0.0,2.775557561562892e-17,2.775557561562892e-17,1.7945127,40.71375199395815,0.01234974,99308636850.53883,34.4,-4.9999895739936,42.79806,clean_image_61,,,
-2.7191389080146427e-06,4.8166119871501874e-08,4.7893183866041154e-08,8.970705986591548e-08,8.939445897796344e-08,5.267636478940812e-06,7.123659120044835e-08,7.036736751124887e-08,1.3372153806912305e-07,1.3409825077224197e-07,20.554647179335827,0.084921425951034,0.0866493306782167,0.1618197358030855,0.1634384858880686,1.908821938314325,0.0261287020655491,0.0256333611353234,0.0482235114017477,0.0488666937686275,1.8848018791578505,0.0094975622175779,0.0094293524085768,0.0178292916905646,0.0182218942309513,76.91766683368411,0.1333015137304016,0.1346120340122638,0.2470701309385958,0.2503793747172835,0.1338367956307982,0.0003331548057228,0.0003388183493764,0.0006406684702701,0.000639085353708,0.4514512706136998,0.0153189834846025,0.0147830812112619,0.0292565502655904,0.0277037275047919,3.919839223192233,0.1397804037697403,0.0594857165698661,0.3685788422568037,0.0764378025780807,23.659145765530067,4.021142022949675,5.202554772879445,6.599288022758188,10.939063089326748,0.0705013551373527,0.006398424772667,0.0065904585939618,0.011525101716385,0.0122998429369585,0.2522554180083108,2.775557561562892e-17,0.0,2.775557561562892e-17,2.775557561562892e-17,1.1075423,3.7194783083501823,0.022330232,8638725956.96144,34.4,-4.9999895739936,20.623884,clean_image_64,0.22297446339208424,0.02026745031229228,0.020873455579568406
-1.788665677255368e-05,1.677093605340748e-07,1.6982986132189738e-07,3.125721501964559e-07,3.173416085797217e-07,6.75192891933763e-06,5.323868940072263e-08,5.479593622481394e-08,1.0120732823197384e-07,1.0244490927703761e-07,74.99045006102642,0.0183614345565814,0.0187895925812,0.0352786598486716,0.0353348562308468,0.8214206312008482,0.0087889038325013,0.0144141302338507,0.0131968523126678,0.0300468433701958,3.115659202140852,0.0051670405748036,0.0055032174432332,0.0094243556703945,0.0106153292917099,89.24837988460017,0.4195746335371382,0.4765695647568861,0.7271089711834975,0.6984318823746634,0.0767186566382394,0.0015700356427201,0.0009415097782191,0.0031710470864599,0.0013865711839252,,,,,,,,,,,,,,,,,,,,,0.2390035785648476,0.0046508880570527,0.0027645821999419,0.0093726212717709,0.0040840594433964,1.077721,4.022716085592314,0.028980285,16774935430.251968,34.4,-4.9999895739936,26.330297,clean_image_65,,,
-2.246259609711533e-06,2.1208236051492066e-07,2.0887854636434545e-07,3.9792685582769036e-07,3.97077201131804e-07,-1.731080102196737e-06,7.055251598023483e-08,7.087575908160472e-08,1.3403776194615209e-07,1.323085946353946e-07,75.21192810295885,0.0265034926286205,0.0275154678926838,0.0505800316441167,0.0522387052655233,0.4584520339443682,0.0020848877906112,0.002160149622085,0.0040022949551228,0.0040410900616328,3.241676562269449,0.0059628050794637,0.0059700682975707,0.0112114359016475,0.0112211961897128,89.85008759127682,0.1631393362753073,0.1066863455924078,0.3302613800858722,0.1420744462612759,0.0993432311290679,0.0004684566178525,0.0004656230506483,0.0008963623707814,0.0008921057334862,,,,,,,,,,,,,,,,,,,,,0.3220283635083337,0.0013729789314518,0.0013792923655124,0.0026308485714935,0.002627682889413,1.7387564,42.19583348330831,0.02365603,20101506716.67476,34.4,-4.9999895739936,23.305336,clean_image_66,,,
-1.1447857330799212e-05,6.96739265722377e-08,6.781396547785212e-08,1.328883831877126e-07,1.2925115340759897e-07,-9.706115966323326e-06,4.7207319720911574e-08,4.901351924096763e-08,8.877185788298926e-08,9.142817991835179e-08,-57.98045847723011,0.0163184583384747,0.0161012246500078,0.0309815519283489,0.0307877479102813,0.3702282880380746,0.0010378265343855,0.0010414711055614,0.0019400446545679,0.0019865053852267,3.8510297502168527,0.0049490339625997,0.0049539029813887,0.0093613692734102,0.0096209248729053,89.92470375780988,0.0779126039390405,0.052442777132029,0.1604581626350807,0.0709786984709097,0.1173676525838782,0.0002617245513482,0.0002763018435359,0.0004980992087211,0.0005046791124297,0.5442855754946365,0.0092226418171648,0.0089565307535447,0.0172840782649749,0.0164268377120191,0.2506128131142083,0.00046207494091,0.0010231636937146,0.0005869545008993,0.0024605843502767,9.986885673236578,0.0215905117526507,0.0097827370039897,0.0518330705037559,0.0124589096637635,0.0483465927192482,0.0004974763886774,0.0005009391166615,0.0009390543332566,0.0009503956944777,0.452009607083834,0.0008799107830182,0.0008799888896623,0.0016516250203005,0.0016384271808815,1.2578334,33.58357366235612,0.021859273,19091940116.38443,34.4,-4.9999895739936,27.732769,clean_image_67,0.3124170320304162,0.0032396810835807854,0.003261934651178181
3.7572657268815737e-06,1.184340007879521e-07,1.1993247961816264e-07,2.277567437292065e-07,2.292100567485585e-07,5.229671624805825e-06,3.468780701370935e-07,3.302643547439373e-07,6.615031551545226e-07,6.407251038675902e-07,0.6094269915275758,0.142450842078084,0.1389771297254548,0.2721343324576584,0.2661673457423584,0.9256477491449784,0.0079458809735094,0.0081631854600114,0.0150469449752753,0.0153352528408728,1.913940577108467,0.0100093185936478,0.0101523596442774,0.0189368445244011,0.0188954926739581,77.28137833282673,0.1564901098021636,0.150787692985844,0.2923259945546022,0.2809712596881013,0.1299043111101696,0.0003426411000333,0.0003415544460605,0.0006346833880942,0.0006495595583975,,,,,,,,,,,,,,,,,,,,,0.2486290643439928,2.775557561562892e-17,1.3877787807814457e-17,4.163336342344337e-17,2.775557561562892e-17,1.030383,1.1018295656292456,0.024610406,2017424401.7745912,34.4,-4.9999895739936,13.228057,clean_image_68,,,
4.255847096168779e-06,1.7342208228478114e-07,1.811208497443679e-07,3.2147968134532146e-07,3.397795221409664e-07,-2.912915153038468e-06,4.999297113324955e-07,5.100278418206587e-07,9.51629958878202e-07,9.554637427439084e-07,10.773390503334022,0.1348822252841337,0.1355198395811037,0.2539326415235425,0.2624380179747643,0.1349293388083617,0.006682151876178,0.0078119119027019,0.0118844432728148,0.0153276570379491,3.075996404582943,0.02650447380136,0.0274320004157764,0.0515648524975369,0.0518480135999763,84.07397018900986,0.7954954194832169,0.8546205292655884,1.424786098588669,1.716978006836456,0.1520041881441814,0.0087413817016376,0.0081218470596905,0.0163346095979877,0.0155135951196229,0.8603815572177844,0.0085274653484755,0.0075838883890761,0.0175516669181027,0.0135861413212678,0.5106968381300122,0.1155088413871185,0.1224058589525857,0.2003333138614386,0.247965541861721,1.8109486560855368,0.1801821315138665,0.2022389049719828,0.328016421975861,0.3834174248990976,0.2036916877177713,0.00864760552806,0.0089846207095363,0.0159362769229534,0.0169405505712518,0.4675368862817456,0.0256695641043462,0.0238748292642154,0.0481244679708924,0.0447980547504178,1.0064698,3.092803540031809,0.03187364,2295895042.688467,34.4,-4.9999895739936,10.3476095,clean_image_69,1.051359120628211,0.045544845610754024,0.047312670077655404
